location,current_speed,free_flow_speed,incident_count,temperature,wind_speed,weather_condition,congestion_level
Boston,11.0,20.0,0,19.94,6.17,cloudy,Medium
El Paso,41.0,41.0,0,17.62,4.92,partly cloudy,Low
Nashville,9.0,9.0,0,10.99,3.09,mist,Low
Detroit,17.0,17.0,0,9.42,11.32,cloudy,Low
Oklahoma City,26.0,26.0,0,13.91,3.6,partly cloudy,Low
Portland,83.0,83.0,0,4.12,0.89,clear,Low
Las Vegas,23.0,23.0,0,16.81,3.09,cloudy,Low
Memphis,20.0,20.0,0,12.48,5.14,cloudy,Low
Louisville,18.0,18.0,0,10.11,3.6,rain,Low
Baltimore,16.0,16.0,0,19.34,4.12,rain,Low
Milwaukee,23.0,23.0,0,8.9,5.14,cloudy,Low
Albuquerque,17.0,17.0,0,12.61,3.6,cloudy,Low
Tucson,41.0,41.0,0,18.74,5.14,clear,Low
Fresno,31.0,31.0,0,11.01,4.12,cloudy,Low
Sacramento,32.0,32.0,0,10.87,1.54,clear,Low
Kansas City,20.0,20.0,0,11.13,1.54,clear,Low
Atlanta,27.0,27.0,0,12.84,3.6,cloudy,Low
Miami,7.0,7.0,0,26.97,4.63,cloudy,Low
Orlando,14.0,14.0,0,23.02,1.54,rain,Low
Tampa,20.0,20.0,0,23.67,5.14,cloudy,Low
Minneapolis,14.0,14.0,0,14.11,2.57,clear,Low
St. Louis,46.0,46.0,0,10.75,4.12,partly cloudy,Low
Cleveland,20.0,20.0,0,10.36,7.2,mist,Low
Cincinnati,33.0,33.0,0,9.63,3.09,mist,Low
Pittsburgh,9.0,14.0,1,16.15,1.34,partly cloudy,Medium
Paris,16.0,16.0,0,15.78,7.72,clear,Low
London,13.0,13.0,0,12.94,4.12,cloudy,Low
Berlin,13.0,21.0,0,13.23,7.2,partly cloudy,Medium
Amsterdam,18.0,30.0,0,12.9,7.72,partly cloudy,Medium
Madrid,11.0,11.0,0,15.29,7.2,cloudy,Low
Rome,29.0,29.0,0,20.75,5.14,clear,Low
Barcelona,29.0,29.0,0,20.76,5.66,partly cloudy,Low
Lisbon,24.0,24.0,0,18.42,7.72,cloudy,Low
Warsaw,14.0,14.0,0,15.65,10.29,clear,Low
Vienna,39.0,39.0,0,15.69,6.17,partly cloudy,Low
Prague,42.0,42.0,0,13.46,5.66,clear,Low
Brussels,16.0,16.0,0,13.21,4.63,partly cloudy,Low
Dublin,10.0,27.0,0,11.96,6.71,cloudy,High
Oslo,0.0,0.0,1,12.13,2.68,partly cloudy,High
Stockholm,26.0,26.0,0,6.51,8.23,cloudy,Low
Copenhagen,27.0,34.0,0,11.07,7.72,cloudy,Medium
Helsinki,17.0,23.0,0,7.54,5.81,cloudy,Medium
Bucharest,21.0,21.0,0,28.95,5.81,clear,Low
Budapest,23.0,33.0,0,20.43,4.63,cloudy,Medium
Athens,31.0,31.0,0,24.99,5.14,partly cloudy,Low
Istanbul,43.0,53.0,0,18.23,2.06,clear,Low
Dubai,80.0,80.0,0,37.01,5.66,clear,Low
Doha,22.0,41.0,0,38.94,3.09,clear,Medium
Tel Aviv,19.0,24.0,0,22.31,7.2,partly cloudy,Medium
Riyadh,62.0,71.0,0,40.92,6.08,partly cloudy,Low
Jeddah,81.0,81.0,0,31.95,10.15,clear,Low
Cairo,25.0,25.0,0,24.33,5.14,cloudy,Low
Johannesburg,19.0,19.0,0,16.12,3.6,partly cloudy,Low
Cape Town,22.0,22.0,0,25.27,4.12,clear,Low
Lagos,54.0,54.0,0,33.12,5.14,cloudy,Low
Nairobi,82.0,82.0,0,25.02,5.14,cloudy,Low
Mumbai,14.0,18.0,0,30.0,4.12,fog,Medium
New Delhi,22.0,24.0,1,33.07,4.12,fog,Low
Bangalore,19.0,26.0,0,30.13,2.57,partly cloudy,Medium
Hyderabad,20.0,28.0,0,28.23,5.14,fog,Medium
Chennai,24.0,24.0,0,27.31,4.02,mist,Low
Kolkata,23.0,23.0,0,30.96,3.6,fog,Low
Singapore,49.0,49.0,0,28.84,1.54,cloudy,Low
Bangkok,27.0,27.0,0,30.57,4.92,partly cloudy,Low
Kuala Lumpur,82.0,82.0,0,25.6,0.0,partly cloudy,Low
Jakarta,28.0,30.0,1,27.99,2.06,partly cloudy,Low
Manila,29.0,37.0,0,29.33,2.57,partly cloudy,Medium
Hanoi,14.0,24.0,0,26.98,5.3,partly cloudy,Medium
Taipei,17.0,17.0,0,25.97,5.14,cloudy,Low
Hong Kong,15.0,30.0,0,27.62,3.58,clear,High
Sydney,23.0,23.0,0,16.88,3.09,cloudy,Low
Melbourne,20.0,20.0,0,15.83,7.72,clear,Low
Auckland,12.0,12.0,0,11.12,1.54,clear,Low
Brisbane,21.0,21.0,0,17.24,3.6,rain,Low
Perth,18.0,18.0,0,17.13,3.09,rain,Low
Adelaide,22.0,22.0,0,20.74,6.69,clear,Low
Los Angeles,28.0,28.0,0,12.99,3.09,cloudy,Low
Chicago,18.0,18.0,0,8.2,1.79,cloudy,Low
Houston,18.0,18.0,0,19.76,3.6,clear,Low
Rome,29.0,29.0,0,20.97,4.12,rain,Low
Barcelona,25.0,29.0,0,20.58,6.17,partly cloudy,Low
Lisbon,24.0,24.0,0,17.98,7.72,partly cloudy,Low
Warsaw,14.0,14.0,0,15.64,8.75,clear,Low
Vienna,30.0,39.0,0,15.56,3.6,cloudy,Medium
Prague,30.0,42.0,0,13.85,4.12,clear,Medium
Brussels,16.0,16.0,0,13.3,5.14,partly cloudy,Low
Dublin,13.0,27.0,0,11.58,6.71,cloudy,High
Oslo,0.0,0.0,1,12.13,2.68,partly cloudy,High
Stockholm,26.0,26.0,0,6.45,7.2,cloudy,Low
Copenhagen,27.0,34.0,0,10.79,7.72,partly cloudy,Medium
Helsinki,18.0,23.0,0,7.36,7.15,partly cloudy,Medium
Bucharest,16.0,21.0,0,28.58,5.81,clear,Medium
Budapest,22.0,35.0,0,20.99,3.6,clear,Medium
Athens,23.0,30.0,0,24.6,5.66,partly cloudy,Medium
Istanbul,43.0,52.0,0,18.23,2.57,clear,Low
Dubai,80.0,80.0,0,36.01,4.12,clear,Low
Doha,23.0,40.0,0,38.94,3.09,clear,Medium
Tel Aviv,19.0,24.0,0,22.14,5.66,partly cloudy,Medium
Riyadh,61.0,72.0,0,39.92,6.08,partly cloudy,Low
Jeddah,81.0,81.0,0,30.95,10.15,clear,Low
Cairo,25.0,25.0,0,24.38,4.63,cloudy,Low
Johannesburg,13.0,19.0,0,15.64,3.6,partly cloudy,Medium
Cape Town,22.0,22.0,0,24.37,4.12,clear,Low
Lagos,54.0,54.0,0,33.14,5.14,cloudy,Low
Nairobi,82.0,82.0,0,24.98,5.14,cloudy,Low
Mumbai,18.0,18.0,0,30.0,4.12,fog,Low
New Delhi,22.0,24.0,1,32.07,2.06,fog,Low
Bangalore,17.0,25.0,0,29.9,1.54,partly cloudy,Medium
Chennai,24.0,24.0,0,27.32,1.54,storm,Low
Singapore,49.0,49.0,0,28.34,2.57,cloudy,Low
Bangkok,21.0,27.0,0,31.64,4.92,partly cloudy,Medium
Kuala Lumpur,65.0,81.0,0,25.53,1.06,cloudy,Low
Jakarta,23.0,29.0,1,27.15,2.06,partly cloudy,Medium
Manila,38.0,38.0,0,29.32,2.06,cloudy,Low
Hanoi,11.0,24.0,0,25.98,5.3,partly cloudy,High
Taipei,17.0,17.0,0,25.83,5.14,rain,Low
Hong Kong,17.0,29.0,0,27.28,4.92,clear,Medium
Sydney,23.0,23.0,0,16.25,2.57,rain,Low
Melbourne,20.0,20.0,0,16.07,7.72,partly cloudy,Low
Auckland,12.0,12.0,0,10.82,1.34,clear,Low
Brisbane,21.0,21.0,0,16.96,3.6,rain,Low
Perth,18.0,18.0,0,16.93,2.57,cloudy,Low
Adelaide,22.0,22.0,0,20.67,5.66,clear,Low
New York,22.0,28.0,0,19.69,4.12,partly cloudy,Medium
Los Angeles,28.0,28.0,0,13.23,2.57,cloudy,Low
Chicago,18.0,18.0,0,8.78,5.14,cloudy,Low
Houston,18.0,18.0,0,20.71,3.6,partly cloudy,Low
Phoenix,18.0,18.0,0,22.18,3.09,cloudy,Low
Philadelphia,0.0,0.0,1,21.51,6.17,cloudy,High
San Antonio,14.0,21.0,0,18.57,4.12,clear,Medium
San Diego,15.0,15.0,0,12.2,4.63,cloudy,Low
Dallas,99.0,99.0,0,18.35,0.89,711,Low
San Jose,27.0,27.0,0,8.07,0.45,partly cloudy,Low
Austin,15.0,15.0,0,19.4,2.68,clear,Low
Jacksonville,59.0,59.0,0,23.74,5.66,cloudy,Low
Fort Worth,12.0,12.0,0,18.13,2.24,clear,Low
Columbus,33.0,33.0,0,11.01,2.57,cloudy,Low
Charlotte,14.0,14.0,0,15.58,2.06,cloudy,Low
San Francisco,13.0,13.0,0,9.73,6.69,partly cloudy,Low
Indianapolis,19.0,19.0,0,8.3,6.69,mist,Low
Seattle,14.0,14.0,0,6.77,1.34,cloudy,Low
Denver,35.0,38.0,1,13.97,1.34,clear,Low
Washington,23.0,23.0,0,18.72,5.14,rain,Low
Boston,7.0,21.0,0,21.37,7.72,cloudy,High
El Paso,41.0,41.0,0,18.49,5.81,partly cloudy,Low
Nashville,9.0,9.0,0,11.6,4.63,cloudy,Low
Detroit,17.0,17.0,0,10.58,10.8,cloudy,Low
Oklahoma City,26.0,26.0,0,16.86,1.54,partly cloudy,Low
Portland,83.0,83.0,0,5.69,1.54,partly cloudy,Low
